Candidate;List;District;Twitter
SARA LARRAIN RUIZ-TAGLE;LISTA DEL APRUEBO;11;
CRISTOBAL PATRICIO BELLOLIO BADIOLA;LISTA DEL APRUEBO;11;https://twitter.com/cbellolio
PAOLA BERLIN RAZMILIC;LISTA DEL APRUEBO;11;https://twitter.com/PaolaBerlin
PATRICIO FERNANDEZ CHADWICK;LISTA DEL APRUEBO;11;https://twitter.com/PatoFdez
MARIA JOSE CUMPLIDO BAEZA;LISTA DEL APRUEBO;11;
JUAN ENRIQUE PI ARRIAGADA;LISTA DEL APRUEBO;11;https://twitter.com/juanenriquepi
ELISA WALKER ECHENIQUE;LISTA DEL APRUEBO;11;https://twitter.com/ElisaWalkerE
CONSTANZA GABRIELA SCHONHAUT SOTO;APRUEBO DIGNIDAD;11;https://twitter.com/ConySchon
JUAN VERA CARRASCO;APRUEBO DIGNIDAD;11;
CAROLINA PAZ PEREZ DATTARI;APRUEBO DIGNIDAD;11;https://twitter.com/caroperezdattar
MAURICIO PESUTIC PEREZ;APRUEBO DIGNIDAD;11;
NATALIA BELEN GARRIDO TORO;APRUEBO DIGNIDAD;11;https://twitter.com/NataliaGarridoT
DIEGO MARDONES PEREZ;APRUEBO DIGNIDAD;11;https://twitter.com/DMardones67
JAVIERA ALEJANDRA TORO CACERES;APRUEBO DIGNIDAD;11;https://twitter.com/javieratoroc
ALEJANDRA NATHALY BROZALEZ ROMERO;UNION PATRIOTICA;11;
PILAR CATALINA ELGUETA LAGOS;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/Elgueta_Pilar
MILAN MARCOS IVELIC KUSANOVIC;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;
CAROLA PATRICIA FREDES TOLORZA;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/CarolaFredesD11
CLAUDIO GUZMAN FERNANDEZ DEL RIO;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/CGuzmanFdR
CAROLINA BEATRIZ CONTRERAS DUPRE;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/ccontrerasdupre
FELIPE ALBERTO ELIAS VERA PEÑALOZA;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/felipeverad11
PABLO ENRIQUE CARRASCO VILLABLANCA;INDEPENDIENTES POR LA NUEVA CONSTITUCION;11;https://twitter.com/pcarrascov
MARIANA AYLWIN OYARZUN;INDEPENDIENTES CON CHILE;11;https://twitter.com/maylwino
TOMAS RECART BALZE;INDEPENDIENTES CON CHILE;11;https://twitter.com/tomasrecartb
PILAR PEÑA DARDAILLON;INDEPENDIENTES CON CHILE;11;https://twitter.com/mppdarda
CLEMENTE PEREZ ERRAZURIZ;INDEPENDIENTES CON CHILE;11;
CRISTINA BEATRIZ BASTIDAS GONZALEZ;INDEPENDIENTES CON CHILE;11;https://twitter.com/crissbastidas
MANUEL ADRIAN INOSTROZA PALMA;INDEPENDIENTES CON CHILE;11;
JORGE DE LA CARRERA DE LA BARRERA;INDEPENDIENTES CON CHILE;11;https://twitter.com/50masune
FRANCISCO ORREGO BAUZA;CANDIDATURA INDEPENDIENTE;11;https://www.twitter.com/forregob
DIEGO BRAVO MORALES;CANDIDATURA INDEPENDIENTE;11;
HENRY BOYS LOEB;CANDIDATURA INDEPENDIENTE;11;https://twitter.com/realHenryBoys
CELESTE JIMENEZ RIVEROS;PARTIDO ECOLOGISTA VERDE;11;https://twitter.com/celestejim
PABLO AMAT TRUJILLO;PARTIDO ECOLOGISTA VERDE;11;https://twitter.com/PabloAmatConst
NICOLE PEÑALOZA MORALES;PARTIDO ECOLOGISTA VERDE;11;
IVO TOMISLAV VUKUSICH CIFUENTES;PARTIDO ECOLOGISTA VERDE;11;
CRISTINA FEMENIAS SALAS;PARTIDO ECOLOGISTA VERDE;11;
PATRICIA ELEAN ARRIAGADA CARDENAS;ENERGIA INDEPENDIENTE;11;https://twitter.com/PEARRIAGADA
JORGE EDUARDO ROJAS RIVEROS;ENERGIA INDEPENDIENTE;11;
PAULA ANDREA SALAMANCA ALCAIDE;ENERGIA INDEPENDIENTE;11;
RENATO ANIBAL GARRIDO VILLEGAS;ENERGIA INDEPENDIENTE;11;https://twitter.com/RenatoGarridoCC
DEBORA NOEMI RIQUELME VALENCIA;ENERGIA INDEPENDIENTE;11;
ESTEBAN MAURICIO CHAVEZ RIVERA;ENERGIA INDEPENDIENTE;11;https://twitter.com/EstebanChavezR
BLANCA SOLEDAD OÑATE PIUTRIN;ENERGIA INDEPENDIENTE;11;https://twitter.com/Corazonescarcha
SUSANA CORDOVA RODRIGUEZ;PARTIDO HUMANISTA;11;
MARCELA CUBILLOS SIGALL;VAMOS POR CHILE;11;https://twitter.com/mcubillossigall
HERNAN LARRAIN MATTE;VAMOS POR CHILE;11;https://twitter.com/HernanLarrain
PAULINA KANTOR PUPKIN;VAMOS POR CHILE;11;https://twitter.com/kantor_pauline
BERNARDO FONTAINE TALAVERA;VAMOS POR CHILE;11;https://twitter.com/berfontaine
VERONICA CAMPINO GARCIA-HUIDOBRO;VAMOS POR CHILE;11;https://twitter.com/verocampino
ANDRES CAREY CARVALLO;VAMOS POR CHILE;11;
CONSTANZA HUBE PORTUS;VAMOS POR CHILE;11;https://twitter.com/conihube
SOLEDAD MELLA VIDAL;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;
ANTONIO LJUBETIC GREZ;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;
SONIA ULLOA TORO;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;https://twitter.com/ulloa_toro
NICOLAS ROMERO REEVES;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;
DANIELA KING REYES;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;https://twitter.com/DanielakingR
JUAN EDUARDO BAEZA CARRASCO;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;
CAROLINA CIFUENTES CASTILLO;MOVIMIENTO SOCIAL CONSTITUYENTE / LA LISTA DEL PUEBLO;11;
