Candidate;List;District;Twitter
ALEJANDRO ADRIAN CANTILLANA PARETTI;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;
DANIELA BELEN ACEVEDO VERDUGO;UNION PATRIOTICA;8;
ARTURO ELIAS PEREZ VALENZUELA;UNION PATRIOTICA;8;
JOHANNA ESTHEFANIE MUÑOZ PAJARITO;UNION PATRIOTICA;8;
FABIAN JOSE CABALLERO VERGARA;UNION PATRIOTICA;8;
MIGUEL ANGEL FONSECA CARRILLO;UNION PATRIOTICA;8;
MARIA MAGDALENA RIVERA IRIBARREN;LA LISTA DEL PUEBLO;8;https://twitter.com/mariariveramit
MARCO ANTONIO ARELLANO ORTEGA;LA LISTA DEL PUEBLO;8;
PALOMBA JAEL ALBARRACIN MORI;LA LISTA DEL PUEBLO;8;
DANIEL TRUJILLO RIVAS;LA LISTA DEL PUEBLO;8;https://twitter.com/DaniTrujilloR1
CLAUDIA SOLEDAD FIGUEROA SEPULVEDA;LA LISTA DEL PUEBLO;8;https://twitter.com/Claudia10928463
PABLO ANDRES CRUZ RAMIREZ;LA LISTA DEL PUEBLO;8;
KAREN FRANCISCA ORELLANA SULLIVAN;LA LISTA DEL PUEBLO;8;https://twitter.com/karen_fos
GERARDO ANTONIO ITURRA GARCIA;LA LISTA DEL PUEBLO;8;https://twitter.com/innato21
BEATRIZ ALEJANDRA BRAVO VACA;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/Bea_BravoVaca
SEBASTIAN ALEXIS AVILES TAPIA;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/AvilesSeba
JAVIERA CONSTANZA MARQUEZ BASUALTO;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/JavieraMarquezB
LEONARDO CLAUDIO CABEZAS ZUÑIGA;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/Leocabezas18
MARIA ISABEL MARGARITA MARTINEZ LIZAMA;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/MariaIsabMartnz
FRANCISCO VLADIMIR FLORES COBO;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;8;https://twitter.com/fcoflorescobo
