Candidate;List;District;Twitter
CLAUDIA FUENTES LIZAMA;PARTIDO ECOLOGISTA VERDE;8;https://twitter.com/FuentesVerde
PEDRO TOMAS BUSTAMANTE PEREZ;PARTIDO ECOLOGISTA VERDE;8;https://twitter.com/Pedrotomasbusta
MARIA ELIZABETH HERNANDEZ FIGUEROA;PARTIDO ECOLOGISTA VERDE;8;
HECTOR HERNAN ORELLANA CORTES;PARTIDO ECOLOGISTA VERDE;8;https://twitter.com/hectorconstitu2
CAMILA PAZ CACERES FUENTES;PARTIDO HUMANISTA;8;https://twitter.com/gataemperatriz
NIDIA FERNANDA CANALES BUSTOS;COMUNIDAD INDEPENDIENTE VEN SEREMOS;8;
CRISTOBAL FERNANDO FERNANDEZ ALISTE;COMUNIDAD INDEPENDIENTE VEN SEREMOS;8;https://twitter.com/cfernandez_a
CLAUDIA CAROLINA LATORRE ARAVENA;COMUNIDAD INDEPENDIENTE VEN SEREMOS;8;https://twitter.com/AravenaLatorre
MARIO ANGEL BENITEZ FERNANDEZ;COMUNIDAD INDEPENDIENTE VEN SEREMOS;8;
MACARENA BRAVO ROJAS;VAMOS POR CHILE;8;https://twitter.com/Macarena__Bravo
FRANCISCO MORENO GUZMAN;VAMOS POR CHILE;8;https://twitter.com/Moreno_Fco
KATERINE ALEJANDRA MEDEL BUENO;VAMOS POR CHILE;8;
MIGUEL ELIAS ESBIR BARCO;VAMOS POR CHILE;8;https://twitter.com/miguelomusico
ANDREA OJEDA MIRANDA;VAMOS POR CHILE;8;https://twitter.com/andreaojedam
TOMAS GUEVARA AGUERO;VAMOS POR CHILE;8;https://twitter.com/TomasDistrito8
MACARENA CORNEJO FUENTES;VAMOS POR CHILE;8;https://twitter.com/MacaCornej
BERNARDO DE LA MAZA BAÑADOS;VAMOS POR CHILE;8;https://twitter.com/bdelamaza
BESSY MIREYA DEL ROSARIO GALLARDO PRADO;LISTA DEL APRUEBO;8;https://twitter.com/BessyGallardoP
CESAR ANTONIO BARRERA FUENZALIDA;LISTA DEL APRUEBO;8;https://twitter.com/cbfuenzalida
CAROLINA GARRIDO SILVA;LISTA DEL APRUEBO;8;https://twitter.com/carolagarrido
RENE CORTAZAR SANZ;LISTA DEL APRUEBO;8;https://twitter.com/CortazarRene
CECILIA VALDES LEON;LISTA DEL APRUEBO;8;https://twitter.com/CeciliaValdes
FRANCISCO REYES MORANDE;LISTA DEL APRUEBO;8;https://twitter.com/PanchoReyesD8
JAIME TRONCOSO VALDES;LISTA DEL APRUEBO;8;
DORIS DAYANNA GONZALEZ LEMUNAO;APRUEBO DIGNIDAD;8;https://twitter.com/doris_gonzalez_
RENE LUIS NARANJO SOTOMAYOR;APRUEBO DIGNIDAD;8;https://twitter.com/renenaranjo
VALENTINA ANDREA MIRANDA ARCE;APRUEBO DIGNIDAD;8;https://twitter.com/ValeMirandaCC
JUAN ANDRES LAGOS ESPINOZA;APRUEBO DIGNIDAD;8;https://twitter.com/PC_JAL
PATRICIA JAVIERA LOPEZ MENADIER;APRUEBO DIGNIDAD;8;https://twitter.com/pattylopezchile
ANDRES SERGIO GIORDANO SALAZAR;APRUEBO DIGNIDAD;8;https://twitter.com/AndresGiordanoS
TATIANA KARINA URRUTIA HERRERA;APRUEBO DIGNIDAD;8;https://twitter.com/tatiurru
DANIEL RODRIGO STINGO CAMUS;APRUEBO DIGNIDAD;8;https://twitter.com/danielstingo
PATRICIA ELIZABETH LILLO REYES;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/PattyLillo2
MARIO AGUILAR AREVALO;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/AguilarMario
JOCELYN DURAN HUAIQUIN;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/Jocelyn_kdh
ESTEBAN ANDRES QUIROZ GONZALEZ;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/EstebanQuirozCL
NATALIE ALEJANDRA ARRIAGADA ACOSTA;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/Nati_ArriagadaA
MANUEL RODOLFO VALENCIA CHACON;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/MvalenciachCh
TERESA ADRIANA POBLETE PINOCHET;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO;8;https://twitter.com/TerePoblete_D8
